Population,Time,Rounds,SegmentError
2,120.11636090278625,8100,0.026970230042934418
3,67.5349440574646,3100,0.003611314110457897
4,88.25843906402588,3100,0.00020814784026394287
5,182.50649285316467,5100,3.00111035661151e-05
6,174.5912389755249,4100,0.02744404226541519
7,152.77527904510498,3100,0.015815436840057373
8,404.47215580940247,7100,0.010848703483740488
9,389.44608092308044,6100,0.016698374102512997
10,291.4328670501709,4100,0.00011253317158358793
11,319.66648626327515,4100,0.00034380354918539524
12,344.8725392818451,4100,0.00011880887905135751
13,194.0416271686554,2100,0.029251714547475178
14,220.18355560302734,2100,0.0003069827798753977
15,347.580246925354,3100,0.004119324187437694
16,465.5358374118805,4100,0.01451406255364418
17,391.8601903915405,3100,1.394412417236405e-05
18,396.29163932800293,3100,0.0002245059780155619
19,280.6473982334137,2100,0.004648035702606042
20,298.4768006801605,2100,0.021756544709205627
21,463.0444383621216,3100,0.007399797439575195
22,487.9405062198639,3100,0.00034121850815912086
23,671.4190537929535,4100,0.01059990127881368
24,360.2260036468506,2100,0.023257821798324585
25,912.5600895881653,5100,0.004419304120043914
26,615.1480209827423,3100,0.0006720367819070816
27,795.962295293808,4100,0.0002890143853922685
28,220.77972745895386,1100,0.0054478297630945844
29,463.24931931495667,2100,0.005491261060039203
30,881.1306548118591,4100,0.0018195918140312035
31,690.6344728469849,3100,0.00018682101896653572
32,481.7517614364624,2100,0.00041424095009764034
33,735.4512813091278,3100,0.00012041480901340644
34,514.7921481132507,2100,0.0063758113731940584
35,787.117800951004,3100,0.0010606872383505106
36,805.2689507007599,3100,0.00016082688428771993
37,864.380542755127,3100,0.001044833877434333
38,878.2126986980438,3100,0.000826211723809441
39,613.6581873893738,2100,0.004652859332660834
40,329.17867970466614,1100,0.007491584246357282
41,643.0753917694092,2100,0.015060691783825556
42,659.7831745147705,2100,0.002762917118767897
43,675.9472012519836,2100,0.0014973253322144349
44,1355.2187886238098,4100,6.153190042823553e-05
45,1053.1476538181305,3100,0.0032277082403500876
46,1417.4816851615906,4100,4.4079681780810155e-05
47,737.0611894130707,2100,0.024398811161518097
48,1484.609869480133,4100,0.004387978774805863
49,1145.7297723293304,3100,0.0005141181560854117
50,1175.3476021289825,3100,8.691083833885689e-05
51,1196.9683239459991,3100,0.002668792692323526
52,822.4999604225159,2100,0.002532889135181904
53,1242.394360780716,3100,3.8989014380301036e-05
54,1668.027819633484,4100,2.5175255965829515e-06
55,1301.3175127506256,3100,0.0001582803282265862
56,896.3567116260529,2100,0.008805382996797562
57,1792.5284559726715,4100,0.00012807449093088508
58,929.8946113586426,2100,0.02276465545097987
59,1401.3124387264252,3100,0.008509660139679909
60,1422.1354837417603,3100,5.9717431819687285e-05
61,1450.9088125228882,3100,0.0002142363809980452
62,520.6961789131165,1100,0.019237075001001358
63,1005.1178297996521,2100,0.00047814745145539445
64,539.8096725940704,1100,0.001054458941022555
65,1546.4909677505493,3100,2.0355112307394545e-05
66,1574.280085325241,3100,0.0010113186823825042
67,1599.9238965511322,3100,3.610130806919187e-05
68,1096.298933506012,2100,0.0006399413881202539
69,2200.9220082759857,4100,0.01352269078294436
70,1135.2930986881256,2100,0.00044882576912641525
71,1145.8362181186676,2100,0.0015622468975683053
72,1714.692626953125,3100,0.0006706387115021547
73,1731.5798244476318,3100,0.00267769085864226
74,1878.4550380706787,3100,0.00014988575518752137
75,1215.566237449646,2100,8.874794972750048e-05
76,1225.7592573165894,2100,0.0007825361875196298
77,1244.6862919330597,2100,0.013144224882125854
78,1261.433115720749,2100,0.00028305758799736697
79,1281.4107642173767,2100,0.00035325173909465474
80,1918.5199103355408,3100,2.8236002738897998e-05
81,1932.0220966339111,3100,0.010724827647209167
82,1974.9958498477936,3100,0.025203771889209747
83,1347.0778696537018,2100,1.7331734852632508e-05
84,718.3879749774933,1100,0.008506175751487413
85,726.4100177288055,1100,0.006013913080096245
86,2060.151670217514,3100,0.002317677407215039
87,1412.6116151809692,2100,0.020944803953170776
88,2110.7084410190582,3100,0.00023922168960173926
89,758.0259881019592,1100,0.002003911261757215
90,1469.7965075969696,2100,0.02465103566646576
91,1473.5489280223846,2100,0.0001003256378074487
92,790.0949578285217,1100,0.02903952697912852
93,1523.4337079524994,2100,0.00023054620639110604
94,2273.8971638679504,3100,0.0003196213316793243
95,2298.361218214035,3100,0.00038160701903204125
96,1572.622659444809,2100,0.01653756946325302
97,2345.593905210495,3100,0.0004524536586056153
98,839.8689823150635,1100,0.01776491105556488
99,851.8318145275116,1100,0.003005426377058029
100,2425.905798435211,3100,5.64693376266708e-05
101,1661.4851553440094,2100,0.007642981285850207
102,2462.278680086136,3100,8.948202594183385e-05
103,887.0360524654388,1100,0.016889022042353947
104,2520.0758934020996,3100,3.1862885710628085e-05
105,1738.937978029251,2100,0.0053638747582832975
106,1749.228392124176,2100,0.012344177812337875
107,2616.970862865448,3100,0.0005965194432064891
108,1782.796581029892,2100,7.57960321304078e-05
109,1806.850578546524,2100,0.00303733783463637
110,2688.6221799850464,3100,3.754300996661186e-05
111,1840.2640926837921,2100,0.009178347885608673
112,1848.4859654903412,2100,0.00024226920989652476
113,982.8054351806641,1100,0.026049405336380005
114,2800.4652831554413,3100,0.00016010208249402544
115,1912.708211183548,2100,0.00016754467894012728
116,2841.5665345191956,3100,0.0009543687726060549
117,1020.4263386726379,1100,0.0035014767199754715
118,1967.0647208690643,2100,0.000942338490858674
119,1977.453691959381,2100,0.000908239899824063
120,2961.9017736911774,3100,6.076196829477946e-05
121,2021.577466249466,2100,0.0009745821201552948
122,2042.3619720935822,2100,0.0003936974486956994
123,1075.3237471580505,1100,0.022377662360668182
124,2069.8066515922546,2100,0.0002720920213808616
125,2101.7512741088867,2100,0.011772765467564264
126,2113.2643394470215,2100,0.008699672296643257
127,1111.2751564979553,1100,0.002335368034740289
128,2195.587502002716,2100,0.00014220397376144925
129,2173.6059110164642,2100,0.00014640564525810382
130,2183.990879058838,2100,0.003349501950045427
131,2339.1231853961945,2100,7.508605388769259e-05
132,3290.1261789798737,3100,9.396107634529471e-05
133,2255.6395206451416,2100,0.01310258979598681
134,2264.5933179855347,2100,0.00021819882870962223
135,3362.7612974643707,3100,0.00012440550684308013
136,2307.2465827465057,2100,0.0026021976955235004
137,3438.6286137104034,3100,8.326546473350996e-06
138,3457.460537672043,3100,1.716104816296138e-05
139,3461.4713072776794,3100,4.457577597349882e-05
140,2379.2921226024628,2100,6.561431897959362e-05
141,1256.4570288658142,1100,0.02136174589395523
142,3560.7153458595276,3100,0.00022071902640163898
143,3610.1165158748627,3100,0.00010058639842706422
144,3606.9185526371,3100,2.8976629740403343e-05
145,3649.877244949341,3100,0.00011505910273020466
146,3687.749178171158,3100,2.9599902821549524e-05
147,3692.408523797989,3100,8.487004864340027e-05
148,2521.4112174510956,2100,0.023905215164025623
149,3763.933483839035,3100,2.788261432821552e-05
150,2557.136223077774,2100,0.0035141725093126297
151,3826.052724123001,3100,0.000269281134630243
152,2604.775777578354,2100,0.008045789475242296
153,2619.9542157649994,2100,0.00020825073200588426
154,2641.4434130191803,2100,0.013824286560217539
155,2672.5616447925568,2100,0.0011736831317345302
156,4184.960390806198,3100,0.004046314395964146
157,1494.5610830783844,1100,0.020368434488773346
158,1508.5430727005005,1100,0.006863096728920937
159,4282.671020030975,3100,0.0002636605834898849
160,4294.738724708557,3100,2.0684046224535752e-05
161,1545.1071174144745,1100,0.01059631754954656
162,2962.516355037689,2100,0.004060234564046065
163,2991.2767877578735,2100,0.020009188602368038
164,4426.256867647171,3100,0.00024440391765286523
165,2873.919440984726,2100,0.007897420475880304
166,4249.252290487289,3100,0.013835000495115915
167,5674.599336862564,4100,0.0005873489814500014
168,1531.0737216472626,1100,0.0176486074924469
169,2921.756133079529,2100,0.00032806439169993
170,2955.160127401352,2100,9.844859596341848e-05
171,2972.850724697113,2100,0.00014936247801718613
172,3014.290486097336,2100,0.0004897994222119451
173,3017.6752741336823,2100,0.007902494942148527
174,3201.674953222275,2100,0.0023734915691117444
175,1688.8423850536346,1100,0.00882117822766304
176,4520.516335010529,3100,0.00015603802360904714
177,4561.067167043686,3100,0.0004172291373834014
178,4856.668048858643,3100,0.00010229474476849039
179,3131.8546657562256,2100,0.0009742317100365957
180,3332.923410177231,2100,0.00037423598890503246
181,4681.460657835007,3100,0.0019813766703009605
182,3372.0402200222015,2100,0.00016349406602482
183,1790.3482654094696,1100,0.023569611211617787
184,3434.378300666809,2100,0.023435475925604504
185,5134.1165108680725,3100,0.00012283006799407303
186,1807.9768841266632,1100,0.010607905685901642
187,3486.0258226394653,2100,0.0017702956683933735
188,3514.280807495117,2100,8.945749141275883e-05
189,3525.491298675537,2100,0.0005986915590862433
190,3554.636135816574,2100,0.00015010462569383284
191,3566.1590011119843,2100,0.000490399271560212
192,3686.166754245758,2100,0.019238940129677456
193,5323.825457334518,3100,0.001088520356764396
194,5388.438576936722,3100,3.76958487322554e-05
195,3643.505937576294,2100,0.00021454757855584225
196,3669.2190277576447,2100,2.5786585562552016e-05
197,3715.292046070099,2100,0.00030949339270591736
198,5501.2156529426575,3100,6.6745764343068e-05
199,3736.937233686447,2100,0.014312917987505594
200,5553.550577402115,3100,8.118118178875496e-05
201,3781.5989916324615,2100,0.01753119130929311
202,3809.561463832855,2100,0.0005010858488579591
203,3828.8614943027496,2100,0.024967369933923084
204,5719.609744548798,3100,0.00016215821960940957
205,5728.412860631943,3100,0.00014430973290776214
206,2037.802417755127,1100,0.000945300484697024
207,2055.7546875476837,1100,0.01717193176349004
208,3927.158885717392,2100,0.01831652596592903
209,5882.163544178009,3100,0.0009322165666768948
210,2089.513524532318,1100,0.001802396805336078
211,3798.8045020103455,2100,0.010144965102275213
212,5676.3660044670105,3100,0.0003422934872408708
213,3828.5876274108887,2100,0.0005086634773761034
214,2023.557137966156,1100,0.019282255321741104
215,3872.242379426956,2100,0.0006108115970467528
216,3914.80021071434,2100,0.014202224711577097
217,3924.3411123752594,2100,0.012998700141906738
218,2071.2529985904694,1100,0.006492482498288155
219,3984.9884374141693,2100,0.006570023794968923
220,2196.615044116974,1100,0.0017012557946145535
221,4247.529289960861,2100,0.0001975393194394807
222,6297.829505205154,3100,0.0073152997841437655
223,2244.0619773864746,1100,0.006805022557576497
224,4313.854996681213,2100,0.0003325819658736388
225,4343.888178348541,2100,3.262844014291962e-05
226,4349.818652391434,2100,0.00407526424775521
227,6475.834822654724,3100,0.00020648249968265495
228,2309.9978201389313,1100,0.010202127198378244
229,6204.232059717178,3100,2.2272773397465546e-05
230,4257.621509313583,2100,0.0006508505515133342
231,4243.77267241478,2100,0.011679962277412415
232,2220.4821305274963,1100,0.014533826460440954
233,6341.519280910492,3100,2.015847955287124e-05
234,4328.274103403091,2100,0.026027182737986248
235,6389.683092832565,3100,2.7484376914799213e-05
236,4360.59032201767,2100,0.002345300124337276
237,4385.732239723206,2100,0.0003891773521900177
238,4401.451116800308,2100,0.001648170097420613
239,4405.360895872116,2100,0.004033729744454225
240,4432.55734038353,2100,0.003122972014049689
241,4458.016465187073,2100,2.508960945609336e-05
242,4472.050126314163,2100,0.00031814749430244166
243,4492.892845392227,2100,0.0019499013821283977
244,6653.752568483353,3100,0.00011913280468434095
245,4538.920025110245,2100,0.0005093028691286842
246,4571.649200439453,2100,0.00014900449120129147
247,4829.012052536011,2100,0.0011005564592778683
248,4867.264694929123,2100,0.0033695080007116
249,7213.625631570816,3100,0.0003821984864771366
250,2566.899425983429,1100,0.002609871638317903
251,4949.277370691299,2100,5.031056934967637e-05
252,4965.117808580399,2100,0.010323245078325272
253,4990.550901412964,2100,0.0006520438473671675
254,7397.3822276592255,3100,0.0002023194683715701
255,7415.341094255447,3100,0.0005854573100805283
256,2738.7191138267517,1100,0.01553146168589592
257,7580.990170955658,3100,0.00024184671929106116
258,5125.169601917267,2100,0.0008084888880451521
259,7659.958546876907,3100,0.00016017755842767656
260,7707.720916509628,3100,0.0006102738746752342
261,5211.444658994675,2100,0.0005107012111693621
262,7690.045777082443,3100,2.6285037165507674e-05
263,5247.61803984642,2100,0.02248093734184901
264,5276.007955312729,2100,0.0012253941191981237
265,5302.224322557449,2100,0.0005889065020407239
266,5333.498556137085,2100,0.010259453828136126
267,5370.988668680191,2100,0.0006401510521148642
268,7707.1727838516235,3100,2.8345273070347805e-05
269,7764.726174592972,3100,7.739558350294828e-05
270,5439.677779912949,2100,0.0002629289908024172
271,5450.126072883606,2100,0.0006852800336976846
272,5476.194864034653,2100,1.7521502741146833e-05
273,7678.41610789299,3100,9.95695882011205e-06
274,7663.9558029174805,3100,0.00021375706031297645
275,5263.052236318588,2100,2.470434264978394e-05
276,5275.692816734314,2100,0.0006070014787837863
277,2795.688554048538,1100,0.026501968502998352
278,5349.134914636612,2100,0.010083440691232681
279,5322.284891366959,2100,0.00045501770606885356
280,5572.847519397736,2100,0.008203531925876936
281,5331.779656887054,2100,0.00019822135800495744
282,7021.84666967392,3100,0.0003858981265996893
283,5540.426233530045,2100,0.000960152285794417
284,5335.673010587692,2100,0.002501079657425483
285,5065.551313638687,2100,0.00024031977712487182
286,5014.586464881897,2100,0.0035720070203145346
287,4777.541811943054,2100,0.011864252388477325
288,4745.360766649246,2100,0.0035962962235013642
289,2863.3023681640625,1100,0.027751199901103973
290,4425.771905899048,2100,0.0008595032462229332
291,4392.25196146965,2100,0.0002123049731987218
292,5421.347156763077,3100,0.00014334363125575086
293,2687.757617712021,1100,0.023954977591832478
294,5321.9025847911835,3100,7.278214980033226e-06
295,5324.242919206619,3100,0.0001726470848855873
296,4227.04657459259,2100,0.019658592840035755
297,4063.807357311249,2100,0.01592225208878517
298,3975.2163174152374,2100,0.0002352195636679729
299,3880.826672077179,2100,0.003512510098516941
300,3856.9598360061646,2100,0.00221935644124945
